model,fold,accuracy,precision,recall,f1_score,time_ms
ann,1,0.9857904085257548,0.9743589743589743,0.9962546816479401,0.9851851851851852,7485.324859619141
svm,1,0.9538188277087034,0.9140893470790378,0.9962546816479401,0.953405017921147,31.663179397583008
logistic_regression,1,0.9538188277087034,0.9140893470790378,0.9962546816479401,0.953405017921147,5.137443542480469
naive_bayes,1,0.9786856127886323,0.9602888086642599,0.9962546816479401,0.9779411764705882,2.081632614135742
ann,2,0.9804618117229129,0.967032967032967,0.9924812030075187,0.9795918367346939,7342.122793197632
svm,2,0.9413854351687388,0.8976109215017065,0.9887218045112782,0.9409660107334525,24.53780174255371
logistic_regression,2,0.9396092362344582,0.8945578231292517,0.9887218045112782,0.9392857142857143,4.530191421508789
naive_bayes,2,0.9644760213143873,0.9424460431654677,0.9849624060150376,0.9632352941176471,3.115415573120117
ann,3,0.9804270462633452,0.9602888086642599,1.0,0.9797421731123389,7268.562793731689
svm,3,0.9519572953736655,0.9134948096885813,0.9924812030075187,0.9513513513513514,29.77275848388672
logistic_regression,3,0.9519572953736655,0.9134948096885813,0.9924812030075187,0.9513513513513514,7.826089859008789
naive_bayes,3,0.9715302491103203,0.9496402877697842,0.9924812030075187,0.9705882352941176,2.2325515747070312
ann,4,0.9697508896797153,0.9430604982206405,0.9962406015037594,0.9689213893967094,7883.402347564697
svm,4,0.9395017793594306,0.8945578231292517,0.9887218045112782,0.9392857142857143,20.05791664123535
logistic_regression,4,0.9412811387900356,0.8922558922558923,0.9962406015037594,0.9413854351687388,8.702516555786133
naive_bayes,4,0.9608540925266904,0.9326241134751773,0.9887218045112782,0.9598540145985401,2.010345458984375
ann,5,0.9750889679715302,0.9598540145985401,0.9887218045112782,0.9740740740740741,8187.620401382446
svm,5,0.9412811387900356,0.8949152542372881,0.9924812030075187,0.9411764705882353,16.021013259887695
logistic_regression,5,0.9412811387900356,0.8922558922558923,0.9962406015037594,0.9413854351687388,4.962682723999023
naive_bayes,5,0.9626334519572953,0.9359430604982206,0.9887218045112782,0.9616087751371115,1.979827880859375
